order_year,order_month,total_revenue,order_volume
2020,1,573252.05,663
2020,2,544489.65,627
2020,3,589062.06,669
2020,4,606838.40,644
2020,5,583337.05,676
2020,6,561883.80,647
2020,7,581748.70,682
2020,8,584941.59,670
2020,9,553778.52,635
2020,10,576162.90,685
2020,11,581569.04,666
2020,12,560612.63,655
2021,1,620200.94,684
2021,2,528140.16,607
2021,3,583203.67,661
2021,4,556757.81,638
2021,5,578407.98,667
2021,6,585460.32,650
2021,7,568855.31,679
2021,8,559270.56,658
2021,9,618650.82,657
2021,10,573727.09,661
2021,11,561172.82,648
2021,12,594472.36,660
2022,1,606077.81,682
2022,2,507800.07,603
2022,3,590712.20,680
2022,4,584614.21,657
2022,5,565929.47,679
2022,6,586828.55,649
2022,7,579358.93,651
2022,8,612478.37,676
2022,9,527205.95,652
2022,10,620056.65,685
2022,11,563002.55,637
2022,12,567052.27,687
2023,1,575765.61,656
2023,2,502825.66,599
2023,3,602538.73,680
2023,4,565026.34,646
2023,5,559480.85,662
2023,6,542405.56,648
2023,7,566691.38,676
2023,8,544838.92,662
2023,9,578546.89,658
2023,10,599576.60,676
2023,11,584918.65,640
2023,12,606276.16,669
2024,1,564503.05,656
2024,2,542977.48,626
2024,3,581919.94,672
2024,4,578992.69,642
2024,5,587145.84,675
2024,6,548381.34,654
2024,7,584900.42,663
2024,8,611153.66,677
2024,9,623179.53,658
2024,10,602689.38,683
2024,11,579603.43,644
2024,12,573467.21,673
2025,1,622876.29,680
2025,2,529300.48,604
2025,3,596709.45,665
2025,4,570028.13,658
2025,5,598980.56,678
2025,6,538024.68,642
2025,7,572040.88,663
2025,8,594127.24,670
2025,9,79048.10,91
