year,month,OrderPriority,order_count
2020,1,High,258
2020,1,Medium,257
2020,1,Low,229
2020,2,Medium,239
2020,2,Low,232
2020,2,High,225
2020,3,Medium,254
2020,3,High,250
2020,3,Low,240
2020,4,High,255
2020,4,Medium,248
2020,4,Low,217
2020,5,Low,267
2020,5,Medium,245
2020,5,High,232
2020,6,Medium,248
2020,6,High,236
2020,6,Low,236
2020,7,Low,270
2020,7,Medium,259
2020,7,High,215
2020,8,Low,252
2020,8,Medium,247
2020,8,High,245
2020,9,Medium,254
2020,9,High,236
2020,9,Low,230
2020,10,High,249
2020,10,Low,248
2020,10,Medium,247
2020,11,Low,242
2020,11,High,239
2020,11,Medium,239
2020,12,Low,262
2020,12,Medium,247
2020,12,High,235
2021,1,Medium,252
2021,1,High,249
2021,1,Low,243
2021,2,High,236
2021,2,Medium,234
2021,2,Low,200
2021,3,Medium,255
2021,3,Low,245
2021,3,High,244
2021,4,Medium,254
2021,4,High,250
2021,4,Low,216
2021,5,Medium,257
2021,5,High,254
2021,5,Low,233
2021,6,Low,248
2021,6,High,244
2021,6,Medium,228
2021,7,High,278
2021,7,Medium,233
2021,7,Low,232
2021,8,Low,271
2021,8,Medium,243
2021,8,High,230
2021,9,High,258
2021,9,Medium,240
2021,9,Low,222
2021,10,High,256
2021,10,Low,244
2021,10,Medium,244
2021,11,High,255
2021,11,Medium,236
2021,11,Low,229
2021,12,Medium,253
2021,12,High,250
2021,12,Low,241
2022,1,Medium,252
2022,1,Low,247
2022,1,High,245
2022,2,High,236
2022,2,Low,224
2022,2,Medium,212
2022,3,Low,254
2022,3,Medium,252
2022,3,High,238
2022,4,Low,244
2022,4,High,242
2022,4,Medium,234
2022,5,Medium,283
2022,5,High,233
2022,5,Low,227
2022,6,Low,256
2022,6,High,241
2022,6,Medium,223
2022,7,Low,256
2022,7,Medium,250
2022,7,High,238
2022,8,Medium,268
2022,8,Low,246
2022,8,High,230
2022,9,Medium,250
2022,9,High,244
2022,9,Low,226
2022,10,Low,251
2022,10,Medium,249
2022,10,High,244
2022,11,Medium,262
2022,11,Low,250
2022,11,High,208
2022,12,High,266
2022,12,Medium,248
2022,12,Low,230
2023,1,Medium,275
2023,1,High,251
2023,1,Low,218
2023,2,High,228
2023,2,Low,228
2023,2,Medium,216
2023,3,High,258
2023,3,Medium,250
2023,3,Low,236
2023,4,Medium,265
2023,4,Low,233
2023,4,High,222
2023,5,High,265
2023,5,Low,240
2023,5,Medium,239
2023,6,Low,249
2023,6,High,236
2023,6,Medium,235
2023,7,Low,255
2023,7,High,249
2023,7,Medium,239
2023,8,High,253
2023,8,Low,250
2023,8,Medium,241
2023,9,Low,250
2023,9,High,247
2023,9,Medium,223
2023,10,High,270
2023,10,Low,242
2023,10,Medium,232
2023,11,High,256
2023,11,Medium,235
2023,11,Low,228
2023,12,High,265
2023,12,Medium,264
2023,12,Low,215
2024,1,High,279
2024,1,Medium,257
2024,1,Low,208
2024,2,High,244
2024,2,Low,231
2024,2,Medium,221
2024,3,High,270
2024,3,Medium,249
2024,3,Low,225
2024,4,Medium,249
2024,4,High,243
2024,4,Low,226
2024,5,Low,264
2024,5,Medium,254
2024,5,High,226
2024,6,Low,254
2024,6,Medium,237
2024,6,High,229
2024,7,Low,271
2024,7,Medium,247
2024,7,High,226
2024,8,Low,258
2024,8,High,249
2024,8,Medium,237
2024,9,Low,275
2024,9,Medium,228
2024,9,High,217
2024,10,High,256
2024,10,Low,246
2024,10,Medium,241
2024,11,Low,264
2024,11,High,234
2024,11,Medium,222
2024,12,Medium,250
2024,12,Low,249
2024,12,High,245
2025,1,Low,259
2025,1,High,249
2025,1,Medium,236
2025,2,Low,245
2025,2,Medium,220
2025,2,High,207
2025,3,Medium,253
2025,3,High,246
2025,3,Low,245
2025,4,Medium,245
2025,4,High,238
2025,4,Low,237
2025,5,Low,262
2025,5,Medium,252
2025,5,High,230
2025,6,Low,270
2025,6,High,230
2025,6,Medium,220
2025,7,Low,269
2025,7,Medium,256
2025,7,High,219
2025,8,Medium,252
2025,8,High,247
2025,8,Low,245
2025,9,Medium,39
2025,9,Low,33
2025,9,High,30
