year,month,returned_orders,total_orders,return_rate_percent
2020,1,81,744,10.89
2020,2,69,696,9.91
2020,3,75,744,10.08
2020,4,76,720,10.56
2020,5,68,744,9.14
2020,6,73,720,10.14
2020,7,62,744,8.33
2020,8,74,744,9.95
2020,9,85,720,11.81
2020,10,59,744,7.93
2020,11,54,720,7.50
2020,12,89,744,11.96
2021,1,60,744,8.06
2021,2,63,672,9.38
2021,3,83,744,11.16
2021,4,82,720,11.39
2021,5,77,744,10.35
2021,6,70,720,9.72
2021,7,64,744,8.60
2021,8,86,744,11.56
2021,9,63,720,8.75
2021,10,83,744,11.16
2021,11,72,720,10.00
2021,12,84,744,11.29
2022,1,62,744,8.33
2022,2,69,672,10.27
2022,3,64,744,8.60
2022,4,63,720,8.75
2022,5,64,744,8.60
2022,6,71,720,9.86
2022,7,93,744,12.50
2022,8,68,744,9.14
2022,9,68,720,9.44
2022,10,59,744,7.93
2022,11,83,720,11.53
2022,12,57,744,7.66
2023,1,88,744,11.83
2023,2,73,672,10.86
2023,3,64,744,8.60
2023,4,73,720,10.14
2023,5,82,744,11.02
2023,6,72,720,10.00
2023,7,68,744,9.14
2023,8,81,744,10.89
2023,9,62,720,8.61
2023,10,68,744,9.14
2023,11,79,720,10.97
2023,12,75,744,10.08
2024,1,88,744,11.83
2024,2,70,696,10.06
2024,3,72,744,9.68
2024,4,76,720,10.56
2024,5,69,744,9.27
2024,6,65,720,9.03
2024,7,80,744,10.75
2024,8,67,744,9.01
2024,9,61,720,8.47
2024,10,59,744,7.93
2024,11,76,720,10.56
2024,12,70,744,9.41
2025,1,64,744,8.60
2025,2,68,672,10.12
2025,3,79,744,10.62
2025,4,62,720,8.61
2025,5,66,744,8.87
2025,6,78,720,10.83
2025,7,81,744,10.89
2025,8,74,744,9.95
2025,9,11,102,10.78
